ID;hasło;poziom;kategoria;długość
1;KOT;łatwy;Zwierzęta;3
2;PIES;łatwy;Zwierzęta;4
3;RYBA;łatwy;Zwierzęta;4
4;PTAK;łatwy;Zwierzęta;4
5;KACZKA;łatwy;Zwierzęta;6
6;GĘŚ;łatwy;Zwierzęta;3
7;MYSZ;łatwy;Zwierzęta;4
8;KRET;łatwy;Zwierzęta;4
9;LIS;łatwy;Zwierzęta;3
10;WILK;łatwy;Zwierzęta;4
11;CHLEB;łatwy;Jedzenie;5
12;SOK;łatwy;Jedzenie;3
13;MLEKO;łatwy;Jedzenie;5
14;WODA;łatwy;Jedzenie;4
15;MIÓD;łatwy;Jedzenie;4
16;SER;łatwy;Jedzenie;3
17;MASŁO;łatwy;Jedzenie;5
18;JAJKO;łatwy;Jedzenie;5
19;RYŻ;łatwy;Jedzenie;3
20;SÓL;łatwy;Jedzenie;3
21;DOMEK;łatwy;Dom;5
22;OKNO;łatwy;Dom;4
23;STÓŁ;łatwy;Dom;4
24;ŁÓŻKO;łatwy;Dom;5
25;SZAFA;łatwy;Dom;5
26;KUBEK;łatwy;Dom;5
27;FOTEL;łatwy;Dom;5
28;KOC;łatwy;Dom;3
29;DRZWI;łatwy;Dom;5
30;PŁOT;łatwy;Dom;4
31;LAS;łatwy;Przyroda;3
32;LIŚĆ;łatwy;Przyroda;4
33;RZEKA;łatwy;Przyroda;5
34;DRZEWO;łatwy;Przyroda;6
35;KWIAT;łatwy;Przyroda;5
36;TRAWA;łatwy;Przyroda;5
37;NIEBO;łatwy;Przyroda;4
38;MORZE;łatwy;Przyroda;5
39;KAMIEŃ;łatwy;Przyroda;6
40;PIASEK;łatwy;Przyroda;6
41;RADIO;łatwy;Technika;5
42;KABEL;łatwy;Technika;5
43;PILOT;łatwy;Technika;5
44;LASER;łatwy;Technika;5
45;ZACISK;łatwy;Technika;6
46;LAMPA;łatwy;Technika;5
47;BATERIA;łatwy;Technika;7
48;EKRAN;łatwy;Technika;5
49;MYSZKA;łatwy;Technika;6
50;ZAWÓR;łatwy;Technika;5
51;LITERKA;łatwy;Język;7
52;KROPKA;łatwy;Język;6
53;SŁOWO;łatwy;Język;5
54;PAUZA;łatwy;Język;5
55;ZDANIE;łatwy;Język;6
56;PISMO;łatwy;Język;5
57;MOWA;łatwy;Język;4
58;ZNAK;łatwy;Język;4
59;GŁOSKA;łatwy;Język;6
60;TEKST;łatwy;Język;5
61;ZESZYT;łatwy;Szkoła;6
62;KREDKA;łatwy;Szkoła;6
63;KREDA;łatwy;Szkoła;5
64;GUMKA;łatwy;Szkoła;5
65;PLECAK;łatwy;Szkoła;6
66;ŁAWKA;łatwy;Szkoła;5
67;TORBA;łatwy;Szkoła;5
68;KLASA;łatwy;Szkoła;5
69;UCZEŃ;łatwy;Szkoła;5
70;OCENA;łatwy;Szkoła;5
71;BUTY;łatwy;Ubiór;4
72;CZAPKA;łatwy;Ubiór;6
73;SZALIK;łatwy;Ubiór;6
74;KAPCIE;łatwy;Ubiór;6
75;PAS;łatwy;Ubiór;3
76;SUKNIA;łatwy;Ubiór;6
77;STRÓJ;łatwy;Ubiór;5
78;BLUZA;łatwy;Ubiór;5
79;SWETER;łatwy;Ubiór;6
80;KURTKA;łatwy;Ubiór;6
81;PIŁKA;łatwy;Sport;5
